gender,age,experience_years,hired
Male,30,8,Yes
Female,38,15,No
Male,27,6,Yes
Male,62,42,Yes
Female,30,11,No
Male,28,9,Yes
Non-Binary,44,23,No
Male,44,21,Yes
Male,33,11,Yes
Female,50,31,No
Female,32,10,Yes
Male,20,1,Yes
Male,49,30,Yes
Male,28,12,Yes
Male,59,37,No
Male,48,27,Yes
Female,50,23,No
Male,37,14,Yes
Female,22,0,Yes
Male,54,35,Yes
Female,21,6,No
Male,23,4,Yes
Female,60,42,Yes
Female,34,11,Yes
Female,36,12,Yes
Female,45,24,Yes
Non-Binary,50,28,Yes
Male,49,26,Yes
Male,42,22,Yes
Female,49,25,Yes
Male,30,12,Yes
Male,52,30,No
Male,57,36,No
Male,24,4,No
Male,54,32,Yes
Male,20,3,Yes
Female,23,0,No
Male,57,40,Yes
Male,56,34,Yes
Female,26,8,Yes
Female,29,9,No
Male,52,34,Yes
Male,33,12,Yes
Female,55,35,Yes
Female,57,40,Yes
Non-Binary,49,29,Yes
Female,45,28,Yes
Male,50,31,No
Male,61,38,No
Male,38,16,No
Female,59,41,No
Male,32,8,Yes
Male,42,24,Yes
Male,38,16,Yes
Male,35,11,No
Male,44,24,No
Male,45,22,Yes
Female,40,18,No
Female,37,15,Yes
Female,28,8,Yes
Non-Binary,43,21,Yes
Female,59,40,Yes
Male,36,19,Yes
Male,49,30,Yes
Female,23,8,No
Male,47,33,Yes
Female,60,39,Yes
Female,59,35,No
Female,28,7,Yes
Male,55,35,Yes
Male,27,13,Yes
Male,41,19,No
Non-Binary,44,24,Yes
Female,25,2,Yes
Male,45,23,Yes
Male,61,37,Yes
Male,21,0,Yes
Male,50,34,Yes
Female,31,14,No
Male,38,16,Yes
Male,56,39,No
Male,56,32,Yes
Male,20,0,Yes
Male,29,9,No
Female,53,36,No
Male,35,15,No
Male,60,41,Yes
Male,26,4,No
Male,32,12,Yes
Female,23,6,No
Male,58,33,Yes
Male,50,33,Yes
Male,29,8,Yes
Female,31,6,No
Male,53,32,No
Male,47,30,Yes
Male,24,2,No
Female,47,27,No
Female,30,5,No
Male,53,27,Yes
Male,34,10,Yes
Male,24,7,No
Female,40,19,No
Male,50,33,Yes
Female,59,42,Yes
Female,26,3,Yes
Male,54,38,Yes
Male,40,18,Yes
Male,59,42,No
Non-Binary,24,6,Yes
Male,33,13,Yes
Male,53,33,No
Male,29,9,No
Male,37,17,Yes
Female,36,14,Yes
Female,57,35,No
Male,51,29,Yes
Non-Binary,36,19,Yes
Female,41,16,No
Non-Binary,44,22,No
Female,35,14,No
Female,49,28,Yes
Female,53,33,Yes
Male,24,0,Yes
Male,63,46,Yes
Male,52,34,Yes
Male,24,6,Yes
Female,59,38,Yes
Non-Binary,61,38,No
Female,22,1,Yes
Female,57,37,Yes
Male,32,13,No
Female,27,6,Yes
Female,49,30,No
Female,24,2,Yes
Female,57,37,No
Female,50,29,Yes
Non-Binary,21,1,Yes
Female,26,0,No
Male,35,16,Yes
Female,29,10,Yes
Male,48,29,No
Male,49,26,Yes
Male,39,16,No
Male,61,38,Yes
Female,53,33,No
Female,27,8,Yes
Female,53,30,Yes
Female,53,36,Yes
Female,64,47,No
Female,55,35,No
Female,26,7,Yes
Male,33,7,Yes
Non-Binary,39,17,Yes
Female,56,32,Yes
Male,52,29,Yes
Female,50,31,No
Male,52,34,No
Male,45,27,Yes
Male,45,25,Yes
Female,57,38,No
Female,35,10,No
Male,31,7,No
Male,20,0,Yes
Female,63,44,Yes
Female,39,17,Yes
Male,21,0,Yes
Male,50,27,Yes
Female,37,14,Yes
Male,61,35,No
Male,29,15,No
Female,25,8,Yes
Female,21,0,Yes
Female,35,9,No
Female,24,1,Yes
Male,57,32,Yes
Male,41,28,Yes
Non-Binary,41,18,Yes
Male,41,22,Yes
Female,20,0,Yes
Female,55,31,Yes
Female,32,15,No
Female,31,12,No
Male,32,11,Yes
Male,30,17,Yes
Female,37,17,No
Female,41,19,Yes
Male,20,5,No
Male,23,4,Yes
Male,28,12,No
Male,22,1,Yes
Female,27,0,No
Male,28,3,Yes
Male,37,20,Yes
Male,24,2,No
Male,41,21,Yes
Non-Binary,56,39,Yes
Female,24,4,No
Male,42,19,Yes
Female,35,14,No
Male,24,4,Yes
Female,56,34,No
Male,63,38,Yes
Male,58,36,Yes
Male,22,1,Yes
Male,45,20,No
Male,27,4,Yes
Male,40,17,Yes
Male,37,11,No
Female,24,4,No
Male,25,5,No
Male,46,24,No
Male,41,16,Yes
Female,41,22,Yes
Male,57,38,Yes
Male,57,37,Yes
Male,62,42,Yes
Female,46,27,Yes
Male,64,43,Yes
Non-Binary,52,29,No
Male,61,40,Yes
Male,50,28,Yes
Male,47,26,Yes
Male,49,31,No
Male,53,29,No
Male,64,44,Yes
Male,36,12,Yes
Male,54,31,No
Male,55,39,Yes
Female,25,6,No
Female,64,44,No
Non-Binary,48,23,Yes
Female,42,21,No
Female,33,6,No
Male,28,8,Yes
Female,34,10,No
Male,57,38,Yes
Male,44,24,No
Non-Binary,39,15,Yes
Female,62,43,Yes
Male,41,27,Yes
Male,26,5,Yes
Male,37,19,No
Male,36,9,Yes
Female,33,14,Yes
Non-Binary,45,23,Yes
Male,59,38,Yes
Male,51,32,Yes
Female,48,27,No
Male,59,34,Yes
Male,26,10,Yes
Female,28,3,No
Male,31,8,Yes
Non-Binary,22,2,No
Male,51,31,Yes
Male,52,33,No
Female,34,14,No
Male,28,11,Yes
Female,63,44,Yes
Male,36,12,Yes
Female,47,19,No
Female,64,44,Yes
Male,32,16,Yes
Male,40,16,Yes
Male,24,0,Yes
Male,26,7,No
Female,57,38,Yes
Female,56,39,No
Female,38,22,Yes
Non-Binary,60,40,No
Male,51,28,Yes
Male,62,39,No
Female,22,0,Yes
Male,58,41,Yes
Male,54,32,Yes
Male,46,28,No
Female,57,32,No
Male,27,7,Yes
Male,38,15,No
Male,49,30,No
Male,59,38,No
Male,29,11,Yes
Female,49,27,No
Male,28,7,No
Male,41,23,Yes
Male,50,29,Yes
Non-Binary,29,9,No
Male,55,37,Yes
Male,29,8,Yes
Male,46,21,Yes
Male,34,12,No
Female,38,12,Yes
Male,30,9,Yes
Female,51,32,Yes
Male,39,19,No
Male,34,18,Yes
Male,23,6,Yes
Male,36,16,Yes
Male,20,0,No
Male,38,20,No
Female,24,1,Yes
Male,37,19,No
Male,36,16,Yes
Male,61,42,Yes
Male,60,41,Yes
Female,23,10,Yes
Female,38,19,No
Male,50,26,Yes
Male,22,5,Yes
Male,22,0,Yes
Female,48,32,No
Female,27,11,No
Male,24,5,Yes
Male,50,26,No
Male,46,24,Yes
Female,52,36,Yes
Male,37,22,Yes
Female,43,23,Yes
Male,45,24,Yes
Female,50,26,No
Female,33,9,Yes
Female,44,24,Yes
Female,51,33,Yes
Male,58,33,No
Female,60,42,Yes
Male,33,17,No
Male,46,27,Yes
Male,41,25,No
Female,57,38,Yes
Female,26,7,Yes
Male,52,33,Yes
Male,62,46,Yes
Female,60,41,No
Female,52,30,No
Female,43,24,No
Male,45,26,Yes
Male,61,40,Yes
Female,50,33,Yes
Female,46,26,Yes
Male,32,14,Yes
Male,50,31,Yes
Female,51,28,No
Female,42,19,Yes
Male,56,33,Yes
Male,59,38,Yes
Male,64,48,Yes
Male,35,14,Yes
Male,58,39,No
Female,27,9,No
Male,37,15,Yes
Male,46,24,Yes
Male,28,11,No
Female,47,28,No
Male,41,19,Yes
Female,30,8,Yes
Female,41,21,Yes
Female,33,13,Yes
Male,42,25,Yes
Male,21,2,No
Female,34,11,Yes
Male,24,1,Yes
Male,48,28,No
Male,52,32,Yes
Male,63,40,No
Male,49,32,Yes
Male,36,9,Yes
Male,20,1,Yes
Male,33,8,No
Male,63,45,No
Male,36,15,Yes
Female,28,10,No
Male,54,32,Yes
Female,50,33,Yes
Male,31,5,No
Female,64,46,No
Male,21,0,Yes
Non-Binary,34,15,No
Male,53,34,Yes
Male,56,31,No
Male,60,42,No
Female,49,30,No
Male,33,13,Yes
Male,64,45,Yes
Male,23,3,Yes
Male,27,9,Yes
Male,42,20,No
Female,26,8,Yes
Male,36,17,No
Male,41,20,Yes
Female,57,42,Yes
Female,45,26,Yes
Male,27,7,No
Male,41,22,Yes
Female,59,38,No
Female,64,47,No
Female,41,20,No
Male,59,41,Yes
Male,24,0,Yes
Male,28,2,Yes
Male,39,20,Yes
Male,41,19,Yes
Female,53,32,No
Female,54,26,Yes
Male,55,40,Yes
Male,38,18,Yes
Male,47,31,No
Female,26,1,No
Male,60,40,Yes
Male,57,38,Yes
Female,22,2,No
Non-Binary,51,31,Yes
Female,64,39,Yes
Male,50,30,Yes
Female,64,41,No
Male,44,22,Yes
Male,52,32,Yes
Male,24,2,No
Female,48,27,No
Male,50,33,Yes
Male,45,24,Yes
Male,40,18,Yes
Male,53,32,Yes
Male,56,32,No
Female,20,0,No
Female,23,5,Yes
Male,41,21,Yes
Male,35,15,No
Female,64,45,Yes
Female,51,29,Yes
Male,53,33,Yes
Male,40,24,Yes
Male,46,25,No
Female,61,42,Yes
Male,56,37,No
Female,22,0,Yes
Male,62,44,Yes
Female,64,42,No
Non-Binary,53,34,Yes
Male,26,4,No
Male,48,28,Yes
Female,22,2,No
Male,64,44,Yes
Male,57,37,No
Female,60,38,No
Male,21,0,Yes
Male,31,11,Yes
Female,34,17,Yes
Male,35,16,No
Male,22,3,No
Male,46,24,Yes
Male,42,22,Yes
Female,52,29,Yes
Male,46,24,No
Non-Binary,43,24,Yes
Female,57,31,Yes
Male,46,31,No
Male,50,25,Yes
Male,34,19,Yes
Male,54,31,No
Female,55,32,No
Female,43,21,No
Non-Binary,36,14,No
Female,64,42,No
Male,53,31,Yes
Female,20,0,No
Female,39,16,Yes
Male,25,7,Yes
Male,24,8,No
Male,48,22,Yes
Male,25,10,Yes
Male,52,34,No
Male,64,44,Yes
Male,57,35,No
Male,48,28,Yes
Male,63,45,Yes
Male,29,16,Yes
Male,51,37,No
Female,44,19,Yes
Male,47,26,No
Male,48,28,Yes
Male,54,38,Yes
Female,51,30,Yes
Female,55,32,Yes
Female,26,6,No
Male,29,7,No
Male,53,35,Yes
Male,52,39,Yes
Male,45,27,No
Male,32,14,No
Male,49,32,Yes
Female,51,32,No
Male,52,30,No
Female,25,4,Yes
Male,55,38,Yes
Male,21,1,Yes
Male,26,3,Yes
Male,49,32,Yes
Female,45,22,Yes
Male,44,20,Yes
Female,52,29,Yes
Male,61,41,Yes
Female,25,7,Yes
Male,27,7,No
Female,28,6,Yes
Non-Binary,30,7,No
Female,43,25,No
Male,25,4,Yes
Male,59,40,Yes
Male,35,14,Yes
Female,36,16,Yes
Male,43,24,Yes
Female,26,13,Yes
Male,59,40,Yes
Male,59,37,Yes
Male,46,26,No
Female,29,6,No
Female,28,5,Yes
Male,29,12,Yes
Male,49,29,No
Female,28,11,Yes
Male,45,20,Yes
Male,53,30,No
Female,54,34,Yes
Female,46,23,No
Male,39,14,Yes
Male,43,19,Yes
Male,46,25,Yes
Male,60,41,No
Male,38,23,Yes
Male,37,13,No
Female,62,38,No
Male,60,35,No
Female,31,12,Yes
Male,59,39,Yes
Non-Binary,37,14,No
Female,27,4,Yes
Male,55,34,Yes
Male,57,36,Yes
Male,35,11,Yes
Male,32,12,Yes
Male,45,20,Yes
Male,45,25,No
Male,40,19,Yes
Female,40,21,Yes
Male,27,10,No
Male,52,30,No
Male,25,5,Yes
Female,21,0,No
Male,27,12,Yes
Female,25,0,Yes
Female,25,4,No
Male,41,13,Yes
Male,44,21,Yes
Male,50,35,Yes
Female,54,37,Yes
Female,24,6,Yes
Female,41,20,Yes
Male,44,28,Yes
Non-Binary,37,17,Yes
Female,28,10,Yes
Male,44,31,Yes
Male,48,31,Yes
Female,52,31,Yes
Male,62,43,Yes
Female,27,11,Yes
Female,59,40,Yes
Male,32,14,No
Female,27,10,Yes
Male,60,47,Yes
Male,63,40,No
Female,46,28,No
Male,22,3,Yes
Male,52,30,Yes
Female,50,28,No
Male,47,31,No
Female,40,16,Yes
Female,48,23,No
Male,48,26,Yes
Non-Binary,28,2,No
Female,41,18,Yes
Male,27,3,No
Non-Binary,64,44,No
Female,36,20,No
Female,42,20,Yes
Male,58,40,Yes
Male,49,31,Yes
Female,34,7,Yes
Male,33,11,No
Male,44,22,Yes
Male,35,16,Yes
Male,37,18,No
Male,51,31,No
Female,57,34,Yes
Male,34,12,Yes
Male,56,31,No
Male,52,32,No
Non-Binary,32,10,No
Female,26,7,Yes
Female,38,20,No
Male,40,18,Yes
Male,56,36,No
Male,28,7,Yes
Male,23,0,No
Male,50,27,Yes
Male,26,0,Yes
Female,32,10,Yes
Male,59,37,No
Male,55,31,Yes
Male,27,9,Yes
Male,45,26,Yes
Male,46,27,Yes
Male,45,27,Yes
Female,64,43,No
Non-Binary,61,40,No
Female,33,15,Yes
Male,39,21,Yes
Female,61,44,No
Male,64,43,No
Male,47,24,Yes
Male,27,7,Yes
Male,24,2,No
Female,32,13,No
Female,21,1,No
Male,33,13,No
Male,22,0,Yes
Male,35,18,No
Male,28,10,No
Male,58,36,Yes
Male,21,0,No
Male,30,10,Yes
Female,43,26,No
Male,62,38,Yes
Female,48,29,Yes
Female,33,10,Yes
Non-Binary,59,35,Yes
Male,41,23,Yes
Male,53,34,No
Female,55,34,No
Female,52,34,Yes
Non-Binary,58,40,No
Female,62,37,Yes
Male,37,17,Yes
Male,41,25,Yes
Female,44,25,Yes
Male,56,28,Yes
Female,24,0,Yes
Male,51,33,Yes
Female,55,33,Yes
Female,28,11,Yes
Non-Binary,33,19,No
Non-Binary,51,30,Yes
Female,28,6,No
Male,42,18,Yes
Male,64,46,Yes
Male,64,42,No
Female,28,6,Yes
Male,40,16,Yes
Male,63,41,Yes
Female,51,28,No
Female,63,37,No
Female,29,6,Yes
Male,48,30,No
Female,53,37,Yes
Male,41,20,Yes
Male,24,4,Yes
Male,30,10,No
Male,47,32,Yes
Male,43,19,No
Female,53,29,No
Female,61,40,No
Male,59,40,Yes
Male,29,8,Yes
Non-Binary,45,20,No
Male,62,44,Yes
Female,60,39,No
Female,26,7,No
Female,63,47,No
Male,26,1,Yes
Male,34,8,Yes
Female,64,45,Yes
Female,22,0,Yes
Female,64,42,No
Female,45,23,No
Female,26,7,Yes
Female,21,0,Yes
Male,29,10,No
Female,49,25,Yes
Male,22,0,Yes
Male,57,37,Yes
Male,48,28,Yes
Female,44,24,Yes
Female,23,7,Yes
Non-Binary,24,7,Yes
Male,25,6,No
Female,38,20,Yes
Male,37,17,Yes
Female,57,40,No
Male,55,36,No
Non-Binary,31,9,No
Male,43,20,No
Female,49,32,No
Male,33,12,Yes
Male,58,43,Yes
Male,21,0,Yes
Male,53,36,Yes
Male,39,17,Yes
Male,55,36,No
Male,42,18,No
Male,54,28,Yes
Female,53,37,Yes
Female,40,18,No
Non-Binary,57,39,Yes
Male,27,5,Yes
Male,62,44,Yes
Male,49,27,Yes
Male,39,15,Yes
Male,39,20,No
Male,42,24,No
Female,39,20,No
Male,42,21,Yes
Male,23,0,Yes
Female,29,5,Yes
Male,59,36,No
Male,24,3,Yes
Male,51,34,Yes
Male,37,16,Yes
Female,44,17,Yes
Female,36,8,Yes
Female,24,1,No
Male,54,32,Yes
Female,61,42,No
Female,40,15,No
Male,55,30,Yes
Male,38,19,No
Female,42,26,Yes
Female,24,0,Yes
Male,52,29,No
Male,23,6,No
Male,52,34,Yes
Female,54,31,Yes
Male,61,44,No
Female,45,25,No
Female,56,37,No
Male,41,18,Yes
Male,30,10,Yes
Female,45,21,No
Male,60,38,Yes
Female,32,11,No
Male,33,13,Yes
Female,60,47,Yes
Male,26,13,Yes
Male,35,13,No
Female,39,23,Yes
Female,64,40,No
Male,62,43,Yes
Female,46,23,Yes
Male,53,31,No
Male,41,28,Yes
Female,57,35,No
Male,56,34,Yes
Female,22,0,Yes
Female,46,23,Yes
Male,26,1,Yes
Non-Binary,54,34,No
Male,64,44,Yes
Female,42,23,Yes
Male,21,0,Yes
Female,43,21,Yes
Male,21,0,Yes
Male,55,35,Yes
Male,36,15,Yes
Male,30,8,No
Male,26,5,Yes
Male,21,5,Yes
Female,34,19,No
Male,50,29,Yes
Male,25,2,Yes
Male,56,35,Yes
Male,48,31,No
Female,23,2,No
Non-Binary,56,37,Yes
Female,31,9,No
Non-Binary,46,22,Yes
Male,44,26,No
Male,64,44,No
Female,31,12,Yes
Male,36,10,Yes
Male,31,16,No
Female,50,30,No
Non-Binary,28,2,Yes
Male,38,20,Yes
Female,48,26,Yes
Female,44,24,No
Female,34,12,Yes
Female,28,7,No
Male,32,11,Yes
Male,63,37,No
Male,61,43,Yes
Male,22,2,Yes
Female,29,10,No
Female,37,19,Yes
Male,29,9,Yes
Male,55,35,Yes
Female,47,22,No
Female,22,0,Yes
Female,39,19,Yes
Male,37,17,Yes
Male,56,37,No
Male,39,23,Yes
Female,29,8,Yes
Male,53,34,Yes
Female,41,21,Yes
Female,40,19,No
Male,52,31,No
Non-Binary,35,12,Yes
Male,61,40,No
Male,54,33,Yes
Female,55,34,Yes
Female,20,0,Yes
Male,31,10,Yes
Female,32,9,Yes
Male,27,6,Yes
Male,50,26,Yes
Female,24,4,Yes
Male,63,42,Yes
Female,55,33,No
Male,44,24,Yes
Female,64,45,Yes
Male,32,11,Yes
Male,54,35,Yes
Male,51,29,Yes
Female,27,8,Yes
Male,41,20,Yes
Male,25,2,No
Female,30,7,No
Male,26,9,Yes
Male,34,18,No
Male,23,5,No
Female,59,37,No
Female,53,37,No
Male,62,43,No
Male,59,40,Yes
Male,41,26,Yes
Male,49,26,Yes
Male,38,20,Yes
Male,56,33,Yes
Female,57,35,No
Female,49,36,No
Female,51,32,Yes
Female,38,23,No
Male,44,25,No
Male,56,37,Yes
Male,64,42,Yes
Female,42,24,Yes
Male,31,11,Yes
Non-Binary,28,8,No
Female,56,35,No
Female,36,15,Yes
Female,54,34,No
Male,60,40,No
Female,49,28,No
Non-Binary,23,0,Yes
Female,60,41,No
Male,23,2,Yes
Female,43,13,No
Male,22,0,No
Female,28,6,Yes
Male,30,13,No
Non-Binary,51,32,Yes
Male,62,39,Yes
Female,59,38,Yes
Male,48,31,Yes
Female,53,31,Yes
Male,53,29,No
Female,40,22,Yes
Male,44,27,Yes
Female,40,18,No
Male,39,20,No
Female,43,22,No
Female,24,2,No
Female,60,43,No
Male,21,0,No
Female,28,10,No
Male,62,42,Yes
Female,27,6,Yes
Male,51,29,Yes
Male,26,3,Yes
Male,57,36,No
Male,39,17,Yes
Male,34,14,Yes
Male,58,34,Yes
Male,47,26,No
Female,50,31,No
Non-Binary,41,18,No
Male,59,41,Yes
Male,43,25,Yes
Male,53,29,Yes
Male,28,5,No
Male,21,0,Yes
Male,64,45,No
Male,44,24,Yes
Male,31,6,Yes
Male,23,1,No
Male,59,39,Yes
Male,32,12,Yes
Male,48,31,Yes
Male,51,27,No
Female,46,25,No
Male,49,25,No
Male,58,38,Yes
Male,20,0,Yes
Male,30,10,No
Female,42,20,No
Male,36,18,No
Male,34,11,No
Female,46,22,No
Male,29,9,No
Male,35,20,Yes
Female,56,31,No
Female,47,23,No
Female,21,1,No
Male,58,41,No
Male,54,34,Yes
Male,34,12,Yes
Male,30,11,Yes
Female,52,33,No
Female,35,12,No
Male,30,12,Yes
Male,39,18,Yes
Male,38,12,No
Male,58,37,Yes
Female,42,20,No
Female,29,12,Yes
Female,27,3,Yes
Female,21,0,No
Female,26,6,Yes
Male,45,32,No
Female,59,44,Yes
Male,38,17,Yes
Male,25,6,No
Male,52,33,Yes
Male,30,6,Yes
Male,55,35,Yes
Female,31,15,Yes
Female,47,27,Yes
Male,28,13,Yes
Female,42,20,No
Male,59,38,Yes
Male,25,4,Yes
Male,38,14,Yes
Male,39,22,No
Male,37,15,Yes
Female,46,26,No
Female,52,30,No
Male,48,33,Yes
Female,28,11,No
Male,64,44,No
Male,63,39,Yes
Female,46,28,Yes
Male,58,41,Yes
Male,30,7,Yes
Male,61,40,Yes
Male,27,7,No
Male,33,16,Yes
Female,32,11,Yes
Female,26,8,Yes
Female,34,11,Yes
Male,57,33,Yes
Male,63,48,Yes
Male,62,38,Yes
Male,37,14,Yes
Female,55,37,Yes
Male,50,28,Yes
Male,23,1,No
Male,32,11,Yes
Female,58,31,No
Male,49,32,No
Male,38,18,Yes
Male,23,0,No
Female,20,0,Yes
Female,59,34,No
Male,51,26,No
Female,31,11,Yes
Female,31,11,No
Female,39,20,Yes
Female,30,12,Yes
Male,49,30,No
Non-Binary,63,47,Yes
Non-Binary,50,33,No
Male,47,29,Yes
Male,63,43,No
Male,48,30,Yes
Male,60,38,No
Female,41,20,No
Female,64,49,Yes
Female,48,26,Yes
Non-Binary,20,0,Yes
Female,40,18,Yes
Male,50,28,Yes
Male,46,24,Yes
Female,54,34,No
Male,27,7,No
Female,59,41,Yes
Female,27,13,Yes
Male,25,3,Yes
Male,34,13,Yes
Female,40,14,Yes
Male,56,32,No
Male,25,4,Yes
Male,48,29,Yes
Male,44,25,No
Male,42,23,No
Female,57,40,No
Male,46,31,Yes
Male,61,40,Yes
Male,42,19,Yes
Male,38,19,Yes
Male,47,29,No
Female,53,33,No
Female,26,5,Yes
Male,32,10,Yes
Male,23,2,Yes
Male,30,12,No
Male,40,17,Yes
Male,40,17,Yes
Male,62,43,Yes
Male,64,41,No
Male,61,41,Yes
Female,45,25,No
Female,50,30,No
Male,23,1,Yes
Female,22,7,No
Female,58,39,No
Female,40,18,Yes
Male,57,37,Yes
Male,37,22,Yes
Male,52,32,No
Male,61,45,Yes
Male,54,30,Yes
Female,51,28,No
Male,30,3,No
Male,58,43,Yes
Male,50,24,Yes
Female,49,29,No
Female,57,42,Yes
Male,39,21,Yes
Male,59,40,Yes
Non-Binary,45,28,No
Male,30,7,Yes
Male,21,2,Yes
Male,58,37,Yes
Female,36,15,No
Male,43,23,No
Male,49,32,No
Male,56,40,No
Female,25,4,Yes
Male,42,18,Yes
Non-Binary,54,31,No
Male,45,30,Yes
Male,44,28,Yes
Male,55,31,Yes
Male,40,24,No
Male,61,38,No
Male,62,43,Yes
Female,42,19,Yes
Male,20,6,No
Male,29,7,Yes
Male,44,20,No
Female,41,19,Yes
Female,27,14,No
Female,60,40,No
Female,52,28,Yes
Female,31,8,Yes
Male,58,32,Yes
Non-Binary,31,12,No
Female,31,7,No
Female,30,13,Yes
Male,27,9,Yes
Male,27,6,Yes
Male,56,39,No
Male,35,17,Yes
Male,55,35,No
Female,37,14,No
Female,63,44,Yes
Male,40,21,Yes
Male,23,4,No
Female,26,6,Yes
Male,53,33,No
Female,53,33,No
Male,64,48,No
Female,55,31,Yes
Female,56,32,Yes
Non-Binary,49,29,Yes
Male,45,22,Yes
Male,31,11,Yes
Male,30,6,Yes
Female,48,25,No
Female,22,8,Yes
Male,30,9,Yes
Male,28,4,No
Male,45,24,Yes
Male,27,10,Yes
Male,40,23,Yes
Female,27,2,No
Male,61,38,Yes
Female,25,5,Yes
Male,37,16,Yes
Male,25,0,Yes
Male,40,15,Yes
Female,63,39,Yes
Male,42,16,No
Male,55,33,No
Male,37,20,No
Female,46,24,No
Male,64,47,Yes
Male,22,2,Yes
Male,31,10,Yes
Male,39,14,No
Male,38,21,Yes
Male,42,22,No
Male,24,0,Yes
Male,38,19,Yes
Male,31,9,No
Male,47,27,No
Male,56,36,Yes
Female,53,36,No
Male,35,11,Yes
Female,23,4,Yes
Female,61,44,Yes
Female,25,12,Yes
Female,26,9,Yes
Male,53,34,Yes
Female,23,3,Yes
Male,34,18,Yes
Female,32,11,No
Male,28,10,Yes
Female,56,42,Yes
Male,36,15,Yes
Male,57,30,Yes
Male,33,10,Yes
Male,56,36,Yes
Female,50,27,No
Male,21,0,No
Female,38,17,No
Female,38,19,No
Male,32,9,No
Male,40,18,Yes
Female,50,34,Yes
Female,63,41,No
Male,47,29,Yes
Female,20,0,Yes
Female,54,33,No
Male,29,11,Yes
Male,27,1,Yes
Female,32,13,Yes
Male,38,19,Yes
Male,22,4,No
Male,22,0,No
Female,46,26,No
Female,37,9,No
Male,54,31,No
Female,63,43,Yes
Female,53,37,Yes
Female,49,34,No
Female,27,5,Yes
Male,40,22,Yes
Female,38,17,Yes
Female,62,37,No
Female,59,40,Yes
Male,49,34,Yes
Male,46,24,Yes
Male,39,16,Yes
Non-Binary,33,13,No
Female,31,10,Yes
Male,42,29,No
Male,31,14,Yes
Female,63,43,Yes
Female,63,34,Yes
Male,58,37,No
Non-Binary,61,46,No
Male,49,29,No
Female,46,28,Yes
Male,43,24,Yes
Male,22,0,No
Female,49,34,No
Male,54,34,Yes
Male,52,29,Yes
Male,56,36,No
Male,59,43,No
Female,35,10,No
Female,37,17,Yes
Male,37,17,Yes
Male,33,8,No
Male,51,33,Yes
Female,31,11,No
Male,61,43,No
Female,21,4,No
Male,45,24,Yes
Male,42,20,Yes
Male,54,29,No
Male,52,30,No
Male,60,40,Yes
Male,44,21,Yes
Male,23,4,No
Male,40,17,Yes
Male,23,0,No
Female,50,28,No
Male,34,14,Yes
Female,23,0,No
Male,23,0,Yes
Female,63,41,No
Female,22,0,No
Male,24,4,Yes
Male,38,19,Yes
Male,57,35,Yes
Male,51,27,Yes
Female,28,8,Yes
Non-Binary,22,3,No
Female,53,37,No
Male,44,27,Yes
Male,29,5,No
Female,51,30,No
Female,24,5,Yes
Male,48,25,Yes
Male,26,4,Yes
Female,34,16,Yes
Male,21,1,No
Female,29,9,Yes
Male,30,8,Yes
Female,59,34,Yes
Male,40,19,Yes
Female,31,10,No
Male,23,0,Yes
Female,47,27,No
Female,48,29,No
Male,32,9,Yes
Non-Binary,37,18,No
Male,46,26,No
Female,22,1,No
Female,54,32,No
Female,58,37,No
Male,41,18,Yes
Female,36,17,Yes
Male,47,24,No
Male,57,34,No
Non-Binary,35,16,Yes
Non-Binary,24,3,No
Female,41,21,Yes
